id,Exposure
10,Crohn's disease || id:10
100,Hip circumference || id:100
1001,Years of schooling || id:1001
1004,Age at menopause || id:1004
1005,Percent emphysema || id:1005
1006,Mean platelet volume || id:1006
1007,Neuroticism || id:1007
1008,Platelet count || id:1008
101,Hip circumference || id:101
1010,Years of schooling || id:1010
1011,Years of schooling || id:1011
1015,C-reactive protein || id:1015
1017,Immunoglobulin G index levels || id:1017
102,Waist circumference || id:102
1024,Multiple sclerosis || id:1024
1025,Multiple sclerosis || id:1025
103,Waist circumference || id:103
1034,Height || id:1034
1045,Hippocampus volume || id:1045
1047,Putamen volume || id:1047
1049,Iron || id:1049
105,Waist circumference || id:105
1050,Ferritin || id:1050
1051,Transferrin Saturation || id:1051
1052,Transferrin || id:1052
1054,Gout || id:1054
1055,Urate || id:1055
1056,Heart rate || id:1056
1058,Celiac disease || id:1058
1059,Celiac disease || id:1059
106,Weight || id:106
1060,Celiac disease || id:1060
107,Weight || id:107
1070,Sitting height ratio || id:1070
1073,Copper || id:1073
1079,Zinc || id:1079
1083,Birth weight || id:1083
1084,Birth weight || id:1084
1085,Amyotrophic lateral sclerosis || id:1085
1086,Amyotrophic lateral sclerosis || id:1086
1087,Chronotype || id:1087
1088,Sleep duration || id:1088
109,Waist-to-hip ratio || id:109
1095,Age at menarche || id:1095
1096,Childhood obesity || id:1096
11,Crohn's disease || id:11
1102,Chronic kidney disease || id:1102
1104,Serum creatinine (eGFRcrea) || id:1104
1105,Serum creatinine (eGFRcrea) || id:1105
1106,Serum cystatin C (eGFRcys) || id:1106
1109,Cardioembolic stroke || id:1109
111,Waist-to-hip ratio || id:111
1112,Primary sclerosing cholangitis  || id:1112
1120,Ovarian cancer || id:1120
1121,High grade serous ovarian cancer || id:1121
1123,Invasive mucinous ovarian cancer || id:1123
1139,Gamma-linolenic acid (18:3n6) || id:1139
1140,Dihomo-gamma-linolenic acid (20:3n6) || id:1140
1141,Arachidonic acid (20:4n6) || id:1141
1142,Linoleic acid (18:2n6) || id:1142
1144,Docosapentaenoic acid (22:5n3) || id:1144
1147,Eicosapentaenoic acid (20:5n3) || id:1147
1148,trans-cis-18:2  || id:1148
1150,cis-trans-18:2 || id:1150
1156,palmitoleic acid (16:1n7) || id:1156
1158,Stearic acid (18:0) plasma levels || id:1158
1183,ADHD || id:1183
1187,Major Depressive Disorder || id:1187
1188,Major Depressive Disorder || id:1188
12,Crohn's disease || id:12
1228,High grade and low grade serous ovarian cancer || id:1228
1229,Serous ovarian cancer: low grade and low malignant potential || id:1229
1230,Serous ovarian cancer: low malignant potential || id:1230
1231,Mucinous ovarian cancer: invasive and low malignant potential || id:1231
1232,Low malignant potential mucinous ovarian cancer || id:1232
1233,Low malignant potential ovarian cancer || id:1233
1239,Years of schooling || id:1239
151,CD34 on Stem || id:151
159,CD123 on 11c+123+DC || id:159
162,CD32 on 11c+123+DC || id:162
2,Body mass index || id:2
22,Schizophrenia || id:22
23,Type 2 diabetes || id:23
24,Type 2 diabetes || id:24
241,NKeff:%314-158a+ || id:241
25,Type 2 diabetes || id:25
26,Type 2 diabetes || id:26
266,MDC:%32+ || id:266
27,Birth weight || id:27
270,Haemoglobin concentration || id:270
271,Mean cell haemoglobin || id:271
272,Mean cell haemoglobin concentration || id:272
273,Mean cell volume || id:273
274,Packed cell volume || id:274
275,Red blood cell count || id:275
276,Celiac disease || id:276
29,Birth length || id:29
292,Inflammatory bowel disease || id:292
293,Inflammatory bowel disease || id:293
294,Inflammatory bowel disease || id:294
297,Alzheimer's disease || id:297
298,Alzheimer's disease || id:298
299,HDL cholesterol || id:299
30,Crohn's disease || id:30
300,LDL cholesterol || id:300
301,Total cholesterol || id:301
302,Triglycerides || id:302
304,Tryptophan || id:304
306,Leucine || id:306
307,Cholesterol || id:307
31,Inflammatory bowel disease || id:31
316,Uridine || id:316
32,Ulcerative colitis || id:32
325,Tyrosine || id:325
331,Stearate (18:0) || id:331
339,4-acetamidobutanoate || id:339
341,Citrate || id:341
349,Heptanoate (7:0) || id:349
350,Laurate (12:0) || id:350
355,Proline || id:355
356,Citrulline || id:356
359,Gamma-glutamylglutamine || id:359
360,Gamma-glutamyltyrosine || id:360
362,Betaine || id:362
373,X-03094 || id:373
375,Kynurenine || id:375
378,Acetylphosphate || id:378
379,Carnitine || id:379
383,3-methyl-2-oxovalerate || id:383
396,X-18601 || id:396
417,Myo-inositol || id:417
419,"1,5-anhydroglucitol (1,5-AG) || id:419"
426,X-08402 || id:426
427,2-hydroxyisobutyrate || id:427
429,4-methyl-2-oxopentanoate || id:429
433,Levulinate (4-oxovalerate) || id:433
435,X-08988 || id:435
44,Asthma || id:44
444,X-10510 || id:444
446,Indoleacetate || id:446
449,N-acetylglycine || id:449
460,Androsterone sulfate || id:460
463,Acetylcarnitine || id:463
464,Serine || id:464
467,Hexanoylcarnitine || id:467
469,Alanine || id:469
471,2-aminobutyrate || id:471
476,Butyrylcarnitine || id:476
478,Dehydroisoandrosterone sulfate (DHEA-S) || id:478
479,Propionylcarnitine || id:479
48,Hip circumference || id:48
481,Caprylate (8:0) || id:481
482,10-undecenoate (11:1n1) || id:482
484,X-11204 || id:484
485,X-02269 || id:485
49,Hip circumference || id:49
490,X-11261 || id:490
495,X-11315 || id:495
496,X-11317 || id:496
497,1-linoleoylglycerophosphoethanolamine* || id:497
