Exposure,Outcome,warning
Hip circumference || id:100,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Years of schooling || id:1001,Nalls et al. 2019 (clinically diagnosed cases),na
Years of schooling || id:1001,Chang et al. 2017,na
Years of schooling || id:1001,Nalls et al. 2014,na
Age at menopause || id:1004,Nalls et al. 2019 (clinically diagnosed cases),na
Age at menopause || id:1004,Chang et al. 2017,na
Age at menopause || id:1004,Nalls et al. 2014,na
Percent emphysema || id:1005,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Mean platelet volume || id:1006,Nalls et al. 2019 (clinically diagnosed cases),na
Mean platelet volume || id:1006,Chang et al. 2017,na
Mean platelet volume || id:1006,Nalls et al. 2014,na
Neuroticism || id:1007,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Neuroticism || id:1007,Chang et al. 2017,snp+na
Neuroticism || id:1007,Nalls et al. 2014,snp+na
Platelet count || id:1008,Nalls et al. 2019 (clinically diagnosed cases),na
Platelet count || id:1008,Chang et al. 2017,na
Platelet count || id:1008,Nalls et al. 2014,na
Hip circumference || id:101,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hip circumference || id:101,Chang et al. 2017,snp+na
Hip circumference || id:101,Nalls et al. 2014,snp+na
Years of schooling || id:1010,Nalls et al. 2019 (clinically diagnosed cases),na
Years of schooling || id:1010,Chang et al. 2017,na
Years of schooling || id:1010,Nalls et al. 2014,na
Years of schooling || id:1011,Nalls et al. 2019 (clinically diagnosed cases),na
Years of schooling || id:1011,Chang et al. 2017,na
Years of schooling || id:1011,Nalls et al. 2014,na
C-reactive protein || id:1015,Nalls et al. 2019 (clinically diagnosed cases),snp+na
C-reactive protein || id:1015,Chang et al. 2017,snp+na
C-reactive protein || id:1015,Nalls et al. 2014,snp+na
Immunoglobulin G index levels || id:1017,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:102,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:102,Chang et al. 2017,snp+na
Waist circumference || id:102,Nalls et al. 2014,snp+na
Waist circumference || id:103,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:103,Chang et al. 2017,snp+na
Waist circumference || id:103,Nalls et al. 2014,snp+na
Height || id:1034,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hippocampus volume || id:1045,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Putamen volume || id:1047,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Iron || id:1049,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:105,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Ferritin || id:1050,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Ferritin || id:1050,Chang et al. 2017,snp+na
Ferritin || id:1050,Nalls et al. 2014,snp+na
Transferrin Saturation || id:1051,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Transferrin || id:1052,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Transferrin || id:1052,Chang et al. 2017,snp+na
Transferrin || id:1052,Nalls et al. 2014,snp+na
Gout || id:1054,Nalls et al. 2019 (clinically diagnosed cases),snp
Urate || id:1055,Nalls et al. 2019 (clinically diagnosed cases),na
